,Company,Product,Reviews
114,Lenovo,Thinkpad Yoga,"The Lenovo ThinkPad Yoga 370 isn’t the flashiest Yoga, but offers a lot to productivity users who need a powerful two-in-one for writing, drawing or scribbling notes."
115,Vero,K147 (N3350/4GB/32GB/FHD/W10),"The basic budget iPad is good, and makes a strong case for spending as little as possible on an Apple tablet."
116,Lenovo,IdeaPad 320-17IKBR,"From its curved-edge HDR display to its AI-enhanced webcam to its amazingly small design, the Lenovo IdeaPad S940 epitomizes a premium ultraportable -- right down to its high price."
117,Razer,Blade Pro,This super-thin 17-inch gaming PC also gets a new CPU and faster RAM.
118,HP,Omen 17-W295,"A solid, sleek and well-performing laptop, the HP Envy 17 still doesn't manage to stand out from the crowd in any significant way."
119,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),A great two-in-one design with more screen for work but without a big increase in size and weight.
120,Acer,Aspire E5-576G,A great two-in-one design with more screen for work but without a big increase in size and weight.
121,Lenovo,Legion Y720-15IKB,"Like its predecessor, the Y7000P, Lenovo's Legion Y545 outperforms its price."
122,Dell,Precision 7520,Dell mixes in the necessary ingredients to turn its consumer XPS 15 2-in-1 into a mobile workstation.
123,Acer,Aspire 7,"The Acer Aspire 7 is solid choice if you're looking to get work done at home as well as game, create content or anything else you'd do on your average laptop."
124,Asus,ROG GL703VD-GC028T,"The ROG Zephyrus G14 is an impressive little gaming laptop, so long as ""little"" is what you want and you need a modest increase in battery life every now and then."
125,HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,"If you're thinking of making a Chromebook your primary home computer, this 15.6-inch HP is an excellent place to start."
126,Lenovo,IdeaPad 320-17IKB,"From its curved-edge HDR display to its AI-enhanced webcam to its amazingly small design, the Lenovo IdeaPad S940 epitomizes a premium ultraportable -- right down to its high price."
127,Dell,Latitude 5490,"The Dell Latitude 5285 is a Surface-style tablet in business attire. Its IT-ready security features may not appeal to consumers, but the clever pop-out kickstand will."
128,Toshiba,Portege Z30-C-16L,"The featherlight, flexible Portege X20W-D shows Toshiba hasn't lost its touch when it comes to business laptops, delivering a solid 2-in-1 that's ready for long flights, boardroom presentations and coffee shop brainstorms."
129,Dell,Alienware 17,"Designed for light- to middleweight creatives, this 17-inch laptop is tops when size matters."
130,Asus,Vivobook X541UV-DM1217T,"Whether you're into the novelty of having a secondary touchscreen or not, Asus has put together a good, affordable lightweight 15.6-inch laptop with the VivoBook S15."
131,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,"In the ultracompetitive market of midrange convertibles, the Acer Spin 3 fails to stand out."
132,HP,ZBook 15u,"As long as you aren't constrained by the stylus and are comfortable with the cost, the HP ZBook x2 G4 DreamColor delivers accurate color and smooth sketching with workstation credibility."
133,Asus,Pro P2540UA-XO0198T,"Asus doubles down on its flipping camera module in the the Zenfone 7 Pro. Plus it gets 5G, a long-lasting battery and an uninterrupted display."
134,HP,15-rb013nv (E2-9000e/4GB/500GB/W10),"An inexpensive Windows laptop for undemanding tasks, the Acer Aspire 1 offers just enough to get the basics done."
135,Dell,Vostro 5468,"The 2011 Dell Vostro V131 succeeds at being an affordable and powerful update to the 13-inch small-business laptop, adding much-needed battery life and processing boosts. At its lower-priced configurations, it's worth a look for budget shoppers."
136,Acer,Aspire R7,"Acer deserves credit for trying new things in the ambitious Aspire R7. If you can get used to the odd touch pad, it's good for sharing your screen with a group, but it may be just too far outside the mainstream for wide appeal. "
137,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,"Apple is rumored to include a larger battery, a high refresh rate LTPO display, a larger camera sensor and more for the next iPhone."
138,Asus,ROG G703VI-E5062T,"The ROG Zephyrus G14 is an impressive little gaming laptop, so long as ""little"" is what you want and you need a modest increase in battery life every now and then."
139,Acer,Nitro AN515-51,A great two-in-one design with more screen for work but without a big increase in size and weight.
140,Asus,VivoBook Pro,"Whether you're into the novelty of having a secondary touchscreen or not, Asus has put together a good, affordable lightweight 15.6-inch laptop with the VivoBook S15."
141,Asus,F756UX-T4201D (i7-7500U/8GB/128GB,"In the ultracompetitive market of midrange convertibles, the Acer Spin 3 fails to stand out."
142,Lenovo,Yoga 910-13IKB,"The ThinkPad X1 Titanium Yoga is an impressively slim convertible laptop with a superb screen, but you can get better value for money elsewhere."
143,HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Gigabyte Aorus 17X gaming laptop delivers power and a keyboard that just clicks.
144,Asus,Rog G701VIK-BA060T,"The ROG Zephyrus G14 is an impressive little gaming laptop, so long as ""little"" is what you want and you need a modest increase in battery life every now and then."
145,Asus,ROG G752VSK-GC493T,"The ROG Zephyrus G14 is an impressive little gaming laptop, so long as ""little"" is what you want and you need a modest increase in battery life every now and then."
146,Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,"Apple is rumored to include a larger battery, a high refresh rate LTPO display, a larger camera sensor and more for the next iPhone."
147,Dell,Vostro 5370,"The 2011 Dell Vostro V131 succeeds at being an affordable and powerful update to the 13-inch small-business laptop, adding much-needed battery life and processing boosts. At its lower-priced configurations, it's worth a look for budget shoppers."
148,HP,15-BW094nd (A6-9220/8GB/128GB/W10),"Despite being called Lite, Samsung's midrange tablet has a lot to offer anyone looking to do more than stream movies and shop."
149,HP,Envy 17-U275cl,"Higher-end design and fast AMD performance for less than $1,000."
150,MSI,GT73EVR 7RE,"If you don't mind paying extra for a thin chassis and a 17-inch 4K-resolution display, the MSI GS73VR Stealth Pro 4K is worth looking into, but you can get more performance for your money if you keep looking."
151,Lenovo,Yoga 720-15IKB,"The ThinkPad X1 Titanium Yoga is an impressively slim convertible laptop with a superb screen, but you can get better value for money elsewhere."
152,Dell,Vostro 3568,"The 2011 Dell Vostro V131 succeeds at being an affordable and powerful update to the 13-inch small-business laptop, adding much-needed battery life and processing boosts. At its lower-priced configurations, it's worth a look for budget shoppers."
153,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),"Microsoft has dominated the business-grade 'tablet-first' 2-in-1 market for a long time with its Surface Pro range, but Dell, along with Lenovo, is now providing strong competition."
154,Lenovo,ThinkPad X1,"Briefly shown off last year, this folding screen Windows system can be a laptop, tablet or a mini desktop."
155,Lenovo,IdeaPad 320-17ISK,"From its curved-edge HDR display to its AI-enhanced webcam to its amazingly small design, the Lenovo IdeaPad S940 epitomizes a premium ultraportable -- right down to its high price."
156,Lenovo,Ideapad 320-15IKBN,"From its curved-edge HDR display to its AI-enhanced webcam to its amazingly small design, the Lenovo IdeaPad S940 epitomizes a premium ultraportable -- right down to its high price."
157,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),A great two-in-one design with more screen for work but without a big increase in size and weight.
158,Lenovo,Thinkpad T570,"Briefly shown off last year, this folding screen Windows system can be a laptop, tablet or a mini desktop."
159,Acer,Chromebook C910-C2ST,"If you need a Chromebook for work or school at home, the large but lightweight Acer Chromebook 715 is a great inexpensive option."
160,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,"A likeable general-purpose gaming laptop that can handle work and play equally well, as long as you don't need to run off the battery for more than 2.5 hours."
161,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),"A solid, sleek and well-performing laptop, the HP Envy 17 still doesn't manage to stand out from the crowd in any significant way."
162,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),"Microsoft has dominated the business-grade 'tablet-first' 2-in-1 market for a long time with its Surface Pro range, but Dell, along with Lenovo, is now providing strong competition."
163,Acer,Aspire A715-71G,"The Acer Aspire 7 is solid choice if you're looking to get work done at home as well as game, create content or anything else you'd do on your average laptop."
164,Dell,Precision 7720,Dell mixes in the necessary ingredients to turn its consumer XPS 15 2-in-1 into a mobile workstation.
165,Lenovo,IdeaPad 310-15ABR,"From its curved-edge HDR display to its AI-enhanced webcam to its amazingly small design, the Lenovo IdeaPad S940 epitomizes a premium ultraportable -- right down to its high price."
166,Asus,ZenBook UX530UQ-PRO,"Asus doubles down on its flipping camera module in the the Zenfone 7 Pro. Plus it gets 5G, a long-lasting battery and an uninterrupted display."
167,Asus,VivoBook S14,"Whether you're into the novelty of having a secondary touchscreen or not, Asus has put together a good, affordable lightweight 15.6-inch laptop with the VivoBook S15."
168,Asus,Rog GL702VS-GC095T,"The ROG Zephyrus G14 is an impressive little gaming laptop, so long as ""little"" is what you want and you need a modest increase in battery life every now and then."
169,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,"A likeable general-purpose gaming laptop that can handle work and play equally well, as long as you don't need to run off the battery for more than 2.5 hours."
170,Lenovo,IdeaPad 320-15IAP,"From its curved-edge HDR display to its AI-enhanced webcam to its amazingly small design, the Lenovo IdeaPad S940 epitomizes a premium ultraportable -- right down to its high price."
171,HP,EliteBook x360,HP's EliteBook x360 is a pricey professional hybrid that has crossover appeal for anyone looking for useful features and a great design.
172,Lenovo,IdeaPad 720S-13IKB,"From its curved-edge HDR display to its AI-enhanced webcam to its amazingly small design, the Lenovo IdeaPad S940 epitomizes a premium ultraportable -- right down to its high price."
173,MSI,GE63VR 7RF,"If you don't mind paying extra for a thin chassis and a 17-inch 4K-resolution display, the MSI GS73VR Stealth Pro 4K is worth looking into, but you can get more performance for your money if you keep looking."
174,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),"Microsoft has dominated the business-grade 'tablet-first' 2-in-1 market for a long time with its Surface Pro range, but Dell, along with Lenovo, is now providing strong competition."
175,Asus,VivoBook Flip,The convertible 2-in-1 laptop will feature a thin bezel and the ability to change into a tablet with a flip.
176,Lenovo,ThinkPad 13,"The Lenovo ThinkPad 13 isn’t going to turn any heads, but it’s a fine budget laptop for simple needs and features  a solid keyboard."
177,HP,ProBook 640,"The ProBook 6460B is all business, for better or for worse. Nobody's going to get overly excited by it, but as a workhorse it's certainly got some appeal."
178,Acer,TravelMate B,"The Acer TravelMate Timeline 8481T is a very svelte laptop for the travelling businessman. Sadly, its odd battery bulges out of the back making it more awkward to fit into a case. With a slim bezel, fair performance and various security features, it's a decent choice for the business-minded among you."
179,HP,Elitebook 840,HP's EliteBook x360 is a pricey professional hybrid that has crossover appeal for anyone looking for useful features and a great design.
180,Asus,ZenBook UX410UA-GV183T,"With an OLED main display and a supplemental monitor as well as powerful components, the Asus ZenBook Pro is a strong contender as a photo-editing champ."
181,Acer,Aspire E5-575,"An inexpensive Windows laptop for undemanding tasks, the Acer Aspire 1 offers just enough to get the basics done."
182,HP,Elitebook 820,HP's EliteBook x360 is a pricey professional hybrid that has crossover appeal for anyone looking for useful features and a great design.
183,MSI,GL72M 7REX,"It's a great time to jump on Nintendo Switch and Xbox One S deals while they're still available, but there's more up for grabs than just consoles."
184,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,"With its updated components, new privacy options and updated aluminum chassis, the ThinkPad X1 Yoga keeps its crown as a top business 2-in-1."
185,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),MSI's Prestige 15 gets you more performance than your average thin-and-light laptop and a great color-accurate display.
186,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,"A likeable general-purpose gaming laptop that can handle work and play equally well, as long as you don't need to run off the battery for more than 2.5 hours."
187,HP,Elitebook 850,HP's EliteBook x360 is a pricey professional hybrid that has crossover appeal for anyone looking for useful features and a great design.
188,Asus,X541NA (N3350/4GB/1TB/Linux),"If I were buying a router today, I'd get the Asus RT-AX86U. Here's why."
